uid,region,cluster,band,weeknum,Cell_Avaiability,Attach_Setup_Success_Rate,RRC_Setup_Success_Rate,eRAB_Setup_Success_Rate_nGBR,VoLTE_Setup_Success_Rate_GBR,Call_Drop_Rate_eRAB_nGBR,VoLTE_Call_Drop_Rate_eRAB_GBR,HOSR_Intra_Frequency,HOSR_Inter_Frequency,X2_Handover_Out_Success_Rate,X2_Handover_In_Success_Rate,S1_Handover_Out_Success_Rate,S1_Handover_In_Success_Rate,DL_BLER,UL_BLER
CENTRAL-PJ-2.3G-24Week 37,CENTRAL,PJ,2.3G,24Week 37,99.9122,99.68450385,99.7721,99.9064,99.5457,1.1566,0.2922,100.4297,99.8105,99.869,99.7143,99.8121,96.8968,0.4357,0.2569
CENTRAL-SUBANG-2.3G-24Week 37,CENTRAL,SUBANG,2.3G,24Week 37,99.1438,99.70100217,99.7814,99.9084,99.7811,1.2106,0.2519,99.678,99.7249,99.7245,99.8209,98.9733,99.5347,0.4161,0.2319
CENTRAL-BATU TIGA-2.3G-24Week 37,CENTRAL,BATU TIGA,2.3G,24Week 37,99.9345,99.69924663,99.783,99.9043,99.9156,1.0597,0.2718,99.764,99.8671,99.7612,99.751,99.3725,99.0161,0.4046,0.2574
CENTRAL-PANTAI-2.3G-24Week 37,CENTRAL,PANTAI,2.3G,24Week 37,99.6594,99.68778542,99.7718,99.8979,99.8201,1.1469,0.1094,99.758,99.8397,99.776,99.7557,97.2352,97.0048,0.3933,0.2446
CENTRAL-DAMANSARA-2.3G-24Week 37,CENTRAL,DAMANSARA,2.3G,24Week 37,99.9237,99.50698031,99.6648,99.8251,99.7164,1.6654,0.2803,99.7054,99.7523,99.7274,99.7114,98.2458,98.481,0.4587,0.2982
CENTRAL-KOTA KEMUNING-2.3G-24Week 37,CENTRAL,KOTA KEMUNING,2.3G,24Week 37,99.9943,99.7088828,99.7688,99.9285,99.8896,1.0045,0.28,99.7365,99.8456,99.7517,99.7501,99.5979,98.7302,0.4026,0.2335
CENTRAL-SHAH ALAM-2.3G-24Week 37,CENTRAL,SHAH ALAM,2.3G,24Week 37,98.7765,99.64161625,99.7237,99.9095,99.8369,1.0223,0.2117,99.7378,99.8251,99.7187,99.7009,99.5391,100.2543,0.4121,0.288
CENTRAL-SG BULOH-2.3G-24Week 37,CENTRAL,SG BULOH,2.3G,24Week 37,99.9184,99.79712791,99.847,99.9429,99.8541,1.2859,0.4677,99.6568,99.7338,99.604,99.7501,90.425,90.3297,0.3616,0.2079
CENTRAL-KOTA DAMANSARA-2.3G-24Week 37,CENTRAL,KOTA DAMANSARA,2.3G,24Week 37,99.9097,99.67092053,99.7496,99.9068,99.9029,1.5154,0.3394,98.7868,99.8107,99.7683,99.6857,79.3648,97.0508,0.4171,0.2606
CENTRAL-PANDAN-2.3G-24Week 37,CENTRAL,PANDAN,2.3G,24Week 37,98.9813,99.59050216,99.7236,99.8754,99.7717,1.4014,0.3825,99.693,99.6801,99.7211,99.6142,97.9695,94.1176,0.4354,0.29
CENTRAL-AMPANG-2.3G-24Week 37,CENTRAL,AMPANG,2.3G,24Week 37,98.9385,99.74811625,99.8328,99.9074,99.8316,1.1578,0.2943,99.7604,99.8399,99.7415,99.7599,91.1654,97.0455,0.3789,0.2263
CENTRAL-KLANG-2.3G-24Week 37,CENTRAL,KLANG,2.3G,24Week 37,99.9013,99.64370582,99.6944,99.9379,99.8478,0.8541,0.1041,99.7922,99.8858,99.7904,99.7708,98.3173,97.3189,0.3175,0.1977
CENTRAL-MERU-2.3G-24Week 37,CENTRAL,MERU,2.3G,24Week 37,99.9258,99.80304409,99.8496,99.9445,99.8604,0.895,0.0751,99.6439,99.4828,99.8346,100.0032,99.7135,99.4131,0.3518,0.2232
CENTRAL-PORT KLANG-2.3G-24Week 37,CENTRAL,PORT KLANG,2.3G,24Week 37,99.958,99.84054858,99.8805,99.9518,99.8983,0.8887,0.3026,94.3407,99.1916,99.6847,99.6891,82.9259,99.7271,0.3517,0.2013
CENTRAL-KAPAR-2.3G-24Week 37,CENTRAL,KAPAR,2.3G,24Week 37,99.5816,99.68897168,99.7719,99.9049,99.8497,1.1846,0.4462,99.7508,99.6781,99.6789,99.8011,99.1989,100.6992,0.4004,0.279
CENTRAL-ELITE HIGHWAY-2.3G-24Week 37,CENTRAL,ELITE HIGHWAY,2.3G,24Week 37,99.9132,99.54527689,99.6517,99.8827,99.8519,1.0733,0.4641,97.724,99.107,97.5824,99.7502,98.9336,97.8634,0.4547,0.2743
CENTRAL-PUCHONG-2.3G-24Week 37,CENTRAL,PUCHONG,2.3G,24Week 37,99.7728,99.70666636,99.8004,99.8944,99.8259,0.9705,0.1717,98.6814,99.6976,99.0706,95.9357,96.0017,96.7457,0.376,0.2534
CENTRAL-DENGKIL-2.3G-24Week 37,CENTRAL,DENGKIL,2.3G,24Week 37,99.9816,99.71541023,99.777,99.9238,99.8967,1.021,0.3832,99.6902,99.7591,99.7354,99.7406,99.5894,99.2612,0.3598,0.2633
CENTRAL-SRI KEMBANGAN-2.3G-24Week 37,CENTRAL,SRI KEMBANGAN,2.3G,24Week 37,99.9989,99.74776833,99.8013,99.9368,99.8372,1.1258,0.3419,99.6912,99.7968,99.7129,99.7684,99.2313,98.708,0.4352,0.2531
CENTRAL-PUTRAJAYA-2.3G-24Week 37,CENTRAL,PUTRAJAYA,2.3G,24Week 37,99.9834,99.78462929,99.8436,99.9279,99.8853,1.1589,0.1514,99.7135,99.7831,99.7492,99.7146,100.7522,99.7384,0.328,0.2029
CENTRAL-KINRARA-2.3G-24Week 37,CENTRAL,KINRARA,2.3G,24Week 37,99.998,99.62398971,99.7285,99.8812,99.6601,1.3328,0.2865,99.6989,99.8059,99.7179,99.6868,76.6341,101.5265,0.4062,0.4591
CENTRAL-CHERAS-2.3G-24Week 37,CENTRAL,CHERAS,2.3G,24Week 37,99.8863,99.72695552,99.7861,99.9285,99.8691,1.0268,0.1717,99.5909,99.6656,99.6334,99.7894,74.852,97.0244,0.3403,0.2298
CENTRAL-SENTUL-2.3G-24Week 37,CENTRAL,SENTUL,2.3G,24Week 37,99.9374,99.64367498,99.7298,99.9001,99.8261,1.2033,0.3273,99.7432,99.8301,99.7741,99.7485,99.2041,99.2323,0.4903,0.3
CENTRAL-BKT BINTANG-2.3G-24Week 37,CENTRAL,BKT BINTANG,2.3G,24Week 37,99.7535,99.65992392,99.755,99.8908,99.7974,1.6809,0.3543,99.3627,99.7605,99.7623,99.7507,70.4867,90.8618,0.4977,0.3101
CENTRAL-KEPONG-2.3G-24Week 37,CENTRAL,KEPONG,2.3G,24Week 37,99.9809,99.59331947,99.6852,99.8947,99.7003,1.2311,0.2692,99.7491,99.8356,99.7579,99.7926,99.4608,99.2168,0.3932,0.2949
CENTRAL-KLANG LAMA-2.3G-24Week 37,CENTRAL,KLANG LAMA,2.3G,24Week 37,99.9939,99.66451511,99.7579,99.8934,99.7429,1.2078,0.2762,99.2291,99.796,99.6829,99.7306,83.8882,101.1137,0.4275,0.2606
CENTRAL-KL-2.3G-24Week 37,CENTRAL,KL,2.3G,24Week 37,97.2119,99.60425482,99.7047,99.8767,99.7771,1.913,0.5395,99.7312,99.7396,99.7377,99.7416,99.2292,97.6253,0.5521,0.3078
CENTRAL-WANGSA MAJU-2.3G-24Week 37,CENTRAL,WANGSA MAJU,2.3G,24Week 37,99.6299,99.70774068,99.8017,99.9006,99.892,0.9941,0.1835,99.7313,99.7204,99.7675,99.7638,99.1478,98.5396,0.366,0.2458
CENTRAL-SELAYANG-2.3G-24Week 37,CENTRAL,SELAYANG,2.3G,24Week 37,99.9792,99.67426358,99.7653,99.9001,99.7874,0.9498,0.1182,99.7915,99.828,99.7443,99.8043,99.5495,99.2529,0.3563,0.249
CENTRAL-PUNCAK ALAM-2.3G-24Week 37,CENTRAL,PUNCAK ALAM,2.3G,24Week 37,99.859,99.70829739,99.8266,99.9254,99.8386,0.9868,0.1253,98.2725,99.4737,98.2513,98.3489,87.3697,97.8914,0.361,0.2918
CENTRAL-SERDANG-2.3G-24Week 37,CENTRAL,SERDANG,2.3G,24Week 37,99.8842,99.71701434,99.7786,99.9346,99.7526,1.2398,0.1183,99.9202,99.9049,99.7915,99.7805,99.6761,100.4472,0.37,0.2186
CENTRAL-KAJANG-2.3G-24Week 37,CENTRAL,KAJANG,2.3G,24Week 37,99.9068,99.81190921,99.8621,99.9427,99.893,1.097,0.1755,99.7334,99.7112,99.7606,99.765,98.2785,99.4388,0.3363,0.2047
CENTRAL-BANGI-2.3G-24Week 37,CENTRAL,BANGI,2.3G,24Week 37,99.9595,99.77151653,99.8348,99.9288,99.8852,0.8528,0.112,99.9669,99.841,99.7625,99.7474,98.7264,98.2475,0.3552,0.2299
CENTRAL-HIGHWAY (SOUTH)-2.3G-24Week 37,CENTRAL,HIGHWAY (SOUTH),2.3G,24Week 37,99.9948,99.70332226,99.7746,99.9137,99.7671,0.9648,0.381,99.5783,99.872,99.5898,99.6668,95.427,100.7973,0.3524,0.2585
CENTRAL-JENJARUM-2.3G-24Week 37,CENTRAL,JENJARUM,2.3G,24Week 37,99.9895,99.78803118,99.8217,99.955,99.8566,1.1935,0.7498,99.7234,99.7242,99.5912,99.8633,98.5786,97.7379,0.3588,0.2413
CENTRAL-IJUK-2.3G-24Week 37,CENTRAL,IJUK,2.3G,24Week 37,99.995,99.8676921,99.898,99.9654,99.9654,0.8456,0.3036,99.576,99.6969,99.5055,100.0159,69.8448,96.4594,0.3216,0.2179
CENTRAL-HIGHWAY (NORTH)-2.3G-24Week 37,CENTRAL,HIGHWAY (NORTH),2.3G,24Week 37,99.778,99.67014809,99.7662,99.8936,99.7607,1.1549,0.476,99.6786,99.8454,99.7152,99.7923,96.5783,96.3366,0.3587,0.2419
CENTRAL-RAWANG-2.3G-24Week 37,CENTRAL,RAWANG,2.3G,24Week 37,100,99.87606609,99.908,99.9632,99.9087,0.8458,0.1472,100.1368,99.9589,99.9188,99.7471,102.2232,99.0168,0.3175,0.1719
CENTRAL-SABAK BERNAM-2.3G-24Week 37,CENTRAL,SABAK BERNAM,2.3G,24Week 37,99.8791,99.94961481,99.9766,99.971,99.9086,0.6695,0.288,99.9372,99.5153,99.9131,99.8754,95.082,85.879,0.2658,0.1812
CENTRAL-KUALA SELANGOR-2.3G-24Week 37,CENTRAL,KUALA SELANGOR,2.3G,24Week 37,99.9908,99.8385277,99.8755,99.9581,99.9151,0.4229,0.2249,99.5491,99.7816,99.5564,99.5634,99.1145,97.6401,0.2825,0.1932
CENTRAL-BATANG BERJUNTAI-2.3G-24Week 37,CENTRAL,BATANG BERJUNTAI,2.3G,24Week 37,99.9618,99.76916659,99.8067,99.9546,99.9533,0.9663,0.9995,99.8509,99.7754,99.4106,99.8993,99.2968,100.5381,0.3543,0.254
CENTRAL-LABU-2.3G-24Week 37,CENTRAL,LABU,2.3G,24Week 37,99.9935,99.81454757,99.8521,99.9492,99.8982,1.0327,0.42,99.3008,100.1785,99.6296,99.7279,96.6569,94.5771,0.3262,0.2069
CENTRAL-BANTING-2.3G-24Week 37,CENTRAL,BANTING,2.3G,24Week 37,99.9836,99.72171425,99.7657,99.9319,99.9307,1.1662,0.3655,99.71,99.6995,99.3037,99.6801,98.6884,94.4635,0.3678,0.3382
CENTRAL-BATANG KALI-2.3G-24Week 37,CENTRAL,BATANG KALI,2.3G,24Week 37,99.8675,99.89973704,99.9322,99.9615,99.9842,0.8655,0.2049,99.6667,99.8439,100.7976,99.7224,60.5263,99.8077,0.2511,0.1573
CENTRAL-KARAK HIGHWAY-2.3G-24Week 37,CENTRAL,KARAK HIGHWAY,2.3G,24Week 37,99.9495,99.83391228,99.8663,99.95,99.9303,1.2183,0.3454,101.207,99.8299,99.7688,99.6891,99.0748,99.4104,0.3664,0.2426
CENTRAL-KLIA-2.3G-24Week 37,CENTRAL,KLIA,2.3G,24Week 37,99.5943,99.72271401,99.7908,99.9201,99.888,1.0741,0.3514,99.8518,99.6997,99.6521,99.6585,99.6902,100.0775,0.3766,0.3202
CENTRAL-HULU LANGAT-2.3G-24Week 37,CENTRAL,HULU LANGAT,2.3G,24Week 37,99.9945,99.80631711,99.8555,99.9361,100,1.3414,1.7127,99.7187,99.9126,99.4983,99.4575,97.619,97.9592,0.2878,0.2982
CENTRAL-SEMENYIH-2.3G-24Week 37,CENTRAL,SEMENYIH,2.3G,24Week 37,99.9708,99.77334696,99.8369,99.9254,99.943,1.0103,0.1629,99.5971,99.6181,99.7603,99.6767,97.439,99.1461,0.3375,0.2428
CENTRAL-TAMPIN TOWN-2.3G-24Week 37,CENTRAL,TAMPIN TOWN,2.3G,24Week 37,100,99.9410481,99.9535,99.9822,99.9195,0.5444,0.3923,99.5817,99.4494,99.5164,99.6941,94.4444,94.8718,0.2298,0.1226
